# These lines are for comments				
# 				
dt=10				
e01	e02	e03	e04	e05
5.97905	5.97905	5.97905	5.97905	5.97905
6.029295	6.029295	6.029295	6.029295	6.029295
6.079303	6.079303	6.079303	6.079303	6.079303
6.129071	6.129071	6.129071	6.129071	6.129071
6.178596	6.178596	6.178596	6.178596	6.178596
6.227878	6.227878	6.227878	6.227878	6.227878
6.276914	6.276914	6.276914	6.276914	6.276914
6.325702	6.325702	6.325702	6.325702	6.325702
6.37424	6.37424	6.37424	6.37424	6.37424
6.422527	6.422527	6.422527	6.422527	6.422527
6.47056	6.47056	6.47056	6.47056	6.47056
6.518337	6.518337	6.518337	6.518337	6.518337
6.565858	6.565858	6.565858	6.565858	6.565858
6.613119	6.613119	6.613119	6.613119	6.613119
6.660119	6.660119	6.660119	6.660119	6.660119
6.706856	6.706856	6.706856	6.706856	6.706856
6.753328	6.753328	6.753328	6.753328	6.753328
6.799534	6.799534	6.799534	6.799534	6.799534
6.845471	6.845471	6.845471	6.845471	6.845471
6.891138	6.891138	6.891138	6.891138	6.891138
6.936533	6.936533	6.936533	6.936533	6.936533
6.981654	6.981654	6.981654	6.981654	6.981654
7.0265	7.0265	7.0265	7.0265	7.0265
7.071068	7.071068	7.071068	7.071068	7.071068
7.115357	7.115357	7.115357	7.115357	7.115357
7.159365	7.159365	7.159365	7.159365	7.159365
7.20309	7.20309	7.20309	7.20309	7.20309
7.246531	7.246531	7.246531	7.246531	7.246531
7.289686	7.289686	7.289686	7.289686	7.289686
7.332553	7.332553	7.332553	7.332553	7.332553
7.375131	7.375131	7.375131	7.375131	7.375131
7.417418	7.417418	7.417418	7.417418	7.417418
7.459411	7.459411	7.459411	7.459411	7.459411
7.501111	7.501111	7.501111	7.501111	7.501111
7.542514	7.542514	7.542514	7.542514	7.542514
7.583619	7.583619	7.583619	7.583619	7.583619
7.624425	7.624425	7.624425	7.624425	7.624425
7.66493	7.66493	7.66493	7.66493	7.66493
7.705132	7.705132	7.705132	7.705132	7.705132
7.745031	7.745031	7.745031	7.745031	7.745031
7.784623	7.784623	7.784623	7.784623	7.784623
7.823908	7.823908	7.823908	7.823908	7.823908
7.862884	7.862884	7.862884	7.862884	7.862884
7.90155	7.90155	7.90155	7.90155	7.90155
7.939904	7.939904	7.939904	7.939904	7.939904
7.977944	7.977944	7.977944	7.977944	7.977944
8.01567	8.01567	8.01567	8.01567	8.01567
8.053079	8.053079	8.053079	8.053079	8.053079
8.09017	8.09017	8.09017	8.09017	8.09017
8.126942	8.126942	8.126942	8.126942	8.126942
8.163393	8.163393	8.163393	8.163393	8.163393
8.199521	8.199521	8.199521	8.199521	8.199521
8.235326	8.235326	8.235326	8.235326	8.235326
8.270806	8.270806	8.270806	8.270806	8.270806
8.305959	8.305959	8.305959	8.305959	8.305959
8.340784	8.340784	8.340784	8.340784	8.340784
8.37528	8.37528	8.37528	8.37528	8.37528
8.409446	8.409446	8.409446	8.409446	8.409446
8.443279	8.443279	8.443279	8.443279	8.443279
8.476779	8.476779	8.476779	8.476779	8.476779
8.509945	8.509945	8.509945	8.509945	8.509945
8.542774	8.542774	8.542774	8.542774	8.542774
8.575267	8.575267	8.575267	8.575267	8.575267
8.60742	8.60742	8.60742	8.60742	8.60742
8.639234	8.639234	8.639234	8.639234	8.639234
8.670707	8.670707	8.670707	8.670707	8.670707
8.701838	8.701838	8.701838	8.701838	8.701838
8.732625	8.732625	8.732625	8.732625	8.732625
8.763067	8.763067	8.763067	8.763067	8.763067
8.793163	8.793163	8.793163	8.793163	8.793163
8.822912	8.822912	8.822912	8.822912	8.822912
8.852313	8.852313	8.852313	8.852313	8.852313
8.881364	8.881364	8.881364	8.881364	8.881364
8.910065	8.910065	8.910065	8.910065	8.910065
8.938414	8.938414	8.938414	8.938414	8.938414
8.96641	8.96641	8.96641	8.96641	8.96641
8.994053	8.994053	8.994053	8.994053	8.994053
9.02134	9.02134	9.02134	9.02134	9.02134
9.048271	9.048271	9.048271	9.048271	9.048271
9.074844	9.074844	9.074844	9.074844	9.074844
9.10106	9.10106	9.10106	9.10106	9.10106
9.126916	9.126916	9.126916	9.126916	9.126916
9.152412	9.152412	9.152412	9.152412	9.152412
9.177546	9.177546	9.177546	9.177546	9.177546
9.202318	9.202318	9.202318	9.202318	9.202318
9.226727	9.226727	9.226727	9.226727	9.226727
9.250772	9.250772	9.250772	9.250772	9.250772
9.274452	9.274452	9.274452	9.274452	9.274452
9.297765	9.297765	9.297765	9.297765	9.297765
9.320711	9.320711	9.320711	9.320711	9.320711
9.343289	9.343289	9.343289	9.343289	9.343289
9.365499	9.365499	9.365499	9.365499	9.365499
9.387339	9.387339	9.387339	9.387339	9.387339
9.408808	9.408808	9.408808	9.408808	9.408808
9.429905	9.429905	9.429905	9.429905	9.429905
9.450631	9.450631	9.450631	9.450631	9.450631
9.470983	9.470983	9.470983	9.470983	9.470983
9.490961	9.490961	9.490961	9.490961	9.490961
9.510565	9.510565	9.510565	9.510565	9.510565
9.529793	9.529793	9.529793	9.529793	9.529793
9.548645	9.548645	9.548645	9.548645	9.548645
9.567121	9.567121	9.567121	9.567121	9.567121
9.585218	9.585218	9.585218	9.585218	9.585218
9.602937	9.602937	9.602937	9.602937	9.602937
9.620277	9.620277	9.620277	9.620277	9.620277
9.637237	9.637237	9.637237	9.637237	9.637237
9.653816	9.653816	9.653816	9.653816	9.653816
9.670015	9.670015	9.670015	9.670015	9.670015
9.685832	9.685832	9.685832	9.685832	9.685832
9.701266	9.701266	9.701266	9.701266	9.701266
9.716317	9.716317	9.716317	9.716317	9.716317
9.730985	9.730985	9.730985	9.730985	9.730985
9.745269	9.745269	9.745269	9.745269	9.745269
9.759168	9.759168	9.759168	9.759168	9.759168
9.772681	9.772681	9.772681	9.772681	9.772681
9.785809	9.785809	9.785809	9.785809	9.785809
9.798551	9.798551	9.798551	9.798551	9.798551
9.810905	9.810905	9.810905	9.810905	9.810905
9.822873	9.822873	9.822873	9.822873	9.822873
9.834452	9.834452	9.834452	9.834452	9.834452
9.845643	9.845643	9.845643	9.845643	9.845643
9.856446	9.856446	9.856446	9.856446	9.856446
9.866859	9.866859	9.866859	9.866859	9.866859
9.876883	9.876883	9.876883	9.876883	9.876883
9.886517	9.886517	9.886517	9.886517	9.886517
9.895761	9.895761	9.895761	9.895761	9.895761
9.904614	9.904614	9.904614	9.904614	9.904614
9.913076	9.913076	9.913076	9.913076	9.913076
9.921147	9.921147	9.921147	9.921147	9.921147
9.928826	9.928826	9.928826	9.928826	9.928826
9.936113	9.936113	9.936113	9.936113	9.936113
9.943008	9.943008	9.943008	9.943008	9.943008
9.94951	9.94951	9.94951	9.94951	9.94951
9.95562	9.95562	9.95562	9.95562	9.95562
9.961336	9.961336	9.961336	9.961336	9.961336
9.966659	9.966659	9.966659	9.966659	9.966659
9.971589	9.971589	9.971589	9.971589	9.971589
9.976125	9.976125	9.976125	9.976125	9.976125
9.980267	9.980267	9.980267	9.980267	9.980267
9.984016	9.984016	9.984016	9.984016	9.984016
9.98737	9.98737	9.98737	9.98737	9.98737
9.990329	9.990329	9.990329	9.990329	9.990329
9.992895	9.992895	9.992895	9.992895	9.992895
9.995066	9.995066	9.995066	9.995066	9.995066
9.996842	9.996842	9.996842	9.996842	9.996842
9.998224	9.998224	9.998224	9.998224	9.998224
9.99921	9.99921	9.99921	9.99921	9.99921
9.999803	9.999803	9.999803	9.999803	9.999803
10	10	10	10	10
9.999803	9.999803	9.999803	9.999803	9.999803
9.99921	9.99921	9.99921	9.99921	9.99921
9.998224	9.998224	9.998224	9.998224	9.998224
9.996842	9.996842	9.996842	9.996842	9.996842
9.995066	9.995066	9.995066	9.995066	9.995066
9.992895	9.992895	9.992895	9.992895	9.992895
9.990329	9.990329	9.990329	9.990329	9.990329
9.98737	9.98737	9.98737	9.98737	9.98737
9.984016	9.984016	9.984016	9.984016	9.984016
9.980267	9.980267	9.980267	9.980267	9.980267
9.976125	9.976125	9.976125	9.976125	9.976125
9.971589	9.971589	9.971589	9.971589	9.971589
9.966659	9.966659	9.966659	9.966659	9.966659
9.961336	9.961336	9.961336	9.961336	9.961336
9.95562	9.95562	9.95562	9.95562	9.95562
9.94951	9.94951	9.94951	9.94951	9.94951
9.943008	9.943008	9.943008	9.943008	9.943008
9.936113	9.936113	9.936113	9.936113	9.936113
9.928826	9.928826	9.928826	9.928826	9.928826
9.921147	9.921147	9.921147	9.921147	9.921147
9.913076	9.913076	9.913076	9.913076	9.913076
9.904614	9.904614	9.904614	9.904614	9.904614
9.895761	9.895761	9.895761	9.895761	9.895761
9.886517	9.886517	9.886517	9.886517	9.886517
9.876883	9.876883	9.876883	9.876883	9.876883
9.866859	9.866859	9.866859	9.866859	9.866859
9.856446	9.856446	9.856446	9.856446	9.856446
9.845643	9.845643	9.845643	9.845643	9.845643
9.834452	9.834452	9.834452	9.834452	9.834452
9.822873	9.822873	9.822873	9.822873	9.822873
9.810905	9.810905	9.810905	9.810905	9.810905
9.798551	9.798551	9.798551	9.798551	9.798551
9.785809	9.785809	9.785809	9.785809	9.785809
9.772681	9.772681	9.772681	9.772681	9.772681
9.759168	9.759168	9.759168	9.759168	9.759168
9.745269	9.745269	9.745269	9.745269	9.745269
9.730985	9.730985	9.730985	9.730985	9.730985
9.716317	9.716317	9.716317	9.716317	9.716317
9.701266	9.701266	9.701266	9.701266	9.701266
9.685832	9.685832	9.685832	9.685832	9.685832
9.670015	9.670015	9.670015	9.670015	9.670015
9.653816	9.653816	9.653816	9.653816	9.653816
9.637237	9.637237	9.637237	9.637237	9.637237
9.620277	9.620277	9.620277	9.620277	9.620277
9.602937	9.602937	9.602937	9.602937	9.602937
9.585218	9.585218	9.585218	9.585218	9.585218
9.567121	9.567121	9.567121	9.567121	9.567121
9.548645	9.548645	9.548645	9.548645	9.548645
9.529793	9.529793	9.529793	9.529793	9.529793
9.510565	9.510565	9.510565	9.510565	9.510565
9.490961	9.490961	9.490961	9.490961	9.490961
9.470983	9.470983	9.470983	9.470983	9.470983
9.450631	9.450631	9.450631	9.450631	9.450631
9.429905	9.429905	9.429905	9.429905	9.429905
9.408808	9.408808	9.408808	9.408808	9.408808
9.387339	9.387339	9.387339	9.387339	9.387339
9.365499	9.365499	9.365499	9.365499	9.365499
9.343289	9.343289	9.343289	9.343289	9.343289
9.320711	9.320711	9.320711	9.320711	9.320711
9.297765	9.297765	9.297765	9.297765	9.297765
9.274452	9.274452	9.274452	9.274452	9.274452
9.250772	9.250772	9.250772	9.250772	9.250772
9.226727	9.226727	9.226727	9.226727	9.226727
9.202318	9.202318	9.202318	9.202318	9.202318
9.177546	9.177546	9.177546	9.177546	9.177546
9.152412	9.152412	9.152412	9.152412	9.152412
9.126916	9.126916	9.126916	9.126916	9.126916
9.10106	9.10106	9.10106	9.10106	9.10106
9.074844	9.074844	9.074844	9.074844	9.074844
9.048271	9.048271	9.048271	9.048271	9.048271
9.02134	9.02134	9.02134	9.02134	9.02134
8.994053	8.994053	8.994053	8.994053	8.994053
8.96641	8.96641	8.96641	8.96641	8.96641
8.938414	8.938414	8.938414	8.938414	8.938414
8.910065	8.910065	8.910065	8.910065	8.910065
8.881364	8.881364	8.881364	8.881364	8.881364
8.852313	8.852313	8.852313	8.852313	8.852313
8.822912	8.822912	8.822912	8.822912	8.822912
8.793163	8.793163	8.793163	8.793163	8.793163
8.763067	8.763067	8.763067	8.763067	8.763067
8.732625	8.732625	8.732625	8.732625	8.732625
8.701838	8.701838	8.701838	8.701838	8.701838
8.670707	8.670707	8.670707	8.670707	8.670707
8.639234	8.639234	8.639234	8.639234	8.639234
8.60742	8.60742	8.60742	8.60742	8.60742
8.575267	8.575267	8.575267	8.575267	8.575267
8.542774	8.542774	8.542774	8.542774	8.542774
8.509945	8.509945	8.509945	8.509945	8.509945
8.476779	8.476779	8.476779	8.476779	8.476779
8.443279	8.443279	8.443279	8.443279	8.443279
8.409446	8.409446	8.409446	8.409446	8.409446
8.37528	8.37528	8.37528	8.37528	8.37528
8.340784	8.340784	8.340784	8.340784	8.340784
8.305959	8.305959	8.305959	8.305959	8.305959
8.270806	8.270806	8.270806	8.270806	8.270806
8.235326	8.235326	8.235326	8.235326	8.235326
8.199521	8.199521	8.199521	8.199521	8.199521
8.163393	8.163393	8.163393	8.163393	8.163393
8.126942	8.126942	8.126942	8.126942	8.126942
8.09017	8.09017	8.09017	8.09017	8.09017
8.053079	8.053079	8.053079	8.053079	8.053079
8.01567	8.01567	8.01567	8.01567	8.01567
7.977944	7.977944	7.977944	7.977944	7.977944
7.939904	7.939904	7.939904	7.939904	7.939904
7.90155	7.90155	7.90155	7.90155	7.90155
7.862884	7.862884	7.862884	7.862884	7.862884
7.823908	7.823908	7.823908	7.823908	7.823908
7.784623	7.784623	7.784623	7.784623	7.784623
7.745031	7.745031	7.745031	7.745031	7.745031
7.705132	7.705132	7.705132	7.705132	7.705132
7.66493	7.66493	7.66493	7.66493	7.66493
7.624425	7.624425	7.624425	7.624425	7.624425
7.583619	7.583619	7.583619	7.583619	7.583619
7.542514	7.542514	7.542514	7.542514	7.542514
7.501111	7.501111	7.501111	7.501111	7.501111
7.459411	7.459411	7.459411	7.459411	7.459411
7.417418	7.417418	7.417418	7.417418	7.417418
7.375131	7.375131	7.375131	7.375131	7.375131
7.332553	7.332553	7.332553	7.332553	7.332553
7.289686	7.289686	7.289686	7.289686	7.289686
7.246531	7.246531	7.246531	7.246531	7.246531
7.20309	7.20309	7.20309	7.20309	7.20309
7.159365	7.159365	7.159365	7.159365	7.159365
7.115357	7.115357	7.115357	7.115357	7.115357
7.071068	7.071068	7.071068	7.071068	7.071068
7.0265	7.0265	7.0265	7.0265	7.0265
6.981654	6.981654	6.981654	6.981654	6.981654
6.936533	6.936533	6.936533	6.936533	6.936533
6.891138	6.891138	6.891138	6.891138	6.891138
6.845471	6.845471	6.845471	6.845471	6.845471
6.799534	6.799534	6.799534	6.799534	6.799534
6.753328	6.753328	6.753328	6.753328	6.753328
6.706856	6.706856	6.706856	6.706856	6.706856
6.660119	6.660119	6.660119	6.660119	6.660119
6.613119	6.613119	6.613119	6.613119	6.613119
6.565858	6.565858	6.565858	6.565858	6.565858
6.518337	6.518337	6.518337	6.518337	6.518337
6.47056	6.47056	6.47056	6.47056	6.47056
6.422527	6.422527	6.422527	6.422527	6.422527
6.37424	6.37424	6.37424	6.37424	6.37424
6.325702	6.325702	6.325702	6.325702	6.325702
6.276914	6.276914	6.276914	6.276914	6.276914
6.227878	6.227878	6.227878	6.227878	6.227878
6.178596	6.178596	6.178596	6.178596	6.178596
6.129071	6.129071	6.129071	6.129071	6.129071
6.079303	6.079303	6.079303	6.079303	6.079303
6.029295	6.029295	6.029295	6.029295	6.029295
5.97905	5.97905	5.97905	5.97905	5.97905
5.928568	5.928568	5.928568	5.928568	5.928568
5.877853	5.877853	5.877853	5.877853	5.877853
5.826905	5.826905	5.826905	5.826905	5.826905
5.775727	5.775727	5.775727	5.775727	5.775727
5.724321	5.724321	5.724321	5.724321	5.724321
5.672689	5.672689	5.672689	5.672689	5.672689
5.620834	5.620834	5.620834	5.620834	5.620834
5.568756	5.568756	5.568756	5.568756	5.568756
5.516459	5.516459	5.516459	5.516459	5.516459
5.463943	5.463943	5.463943	5.463943	5.463943
5.411213	5.411213	5.411213	5.411213	5.411213
5.358268	5.358268	5.358268	5.358268	5.358268
5.305112	5.305112	5.305112	5.305112	5.305112
5.251746	5.251746	5.251746	5.251746	5.251746
5.198173	5.198173	5.198173	5.198173	5.198173
5.144395	5.144395	5.144395	5.144395	5.144395
5.090414	5.090414	5.090414	5.090414	5.090414
5.036232	5.036232	5.036232	5.036232	5.036232
4.981851	4.981851	4.981851	4.981851	4.981851
4.927273	4.927273	4.927273	4.927273	4.927273
4.872501	4.872501	4.872501	4.872501	4.872501
4.817537	4.817537	4.817537	4.817537	4.817537
4.762382	4.762382	4.762382	4.762382	4.762382
4.707039	4.707039	4.707039	4.707039	4.707039
4.651511	4.651511	4.651511	4.651511	4.651511
4.595799	4.595799	4.595799	4.595799	4.595799
4.539905	4.539905	4.539905	4.539905	4.539905
4.483832	4.483832	4.483832	4.483832	4.483832
4.427582	4.427582	4.427582	4.427582	4.427582
4.371158	4.371158	4.371158	4.371158	4.371158
4.31456	4.31456	4.31456	4.31456	4.31456
4.257793	4.257793	4.257793	4.257793	4.257793
4.200857	4.200857	4.200857	4.200857	4.200857
4.143756	4.143756	4.143756	4.143756	4.143756
4.086491	4.086491	4.086491	4.086491	4.086491
4.029064	4.029064	4.029064	4.029064	4.029064
3.971479	3.971479	3.971479	3.971479	3.971479
3.913737	3.913737	3.913737	3.913737	3.913737
3.85584	3.85584	3.85584	3.85584	3.85584
3.797791	3.797791	3.797791	3.797791	3.797791
3.739592	3.739592	3.739592	3.739592	3.739592
3.681246	3.681246	3.681246	3.681246	3.681246
3.622754	3.622754	3.622754	3.622754	3.622754
3.564119	3.564119	3.564119	3.564119	3.564119
3.505343	3.505343	3.505343	3.505343	3.505343
3.446429	3.446429	3.446429	3.446429	3.446429
3.387379	3.387379	3.387379	3.387379	3.387379
3.328195	3.328195	3.328195	3.328195	3.328195
3.26888	3.26888	3.26888	3.26888	3.26888
3.209436	3.209436	3.209436	3.209436	3.209436
3.149865	3.149865	3.149865	3.149865	3.149865
3.09017	3.09017	3.09017	3.09017	3.09017
3.030353	3.030353	3.030353	3.030353	3.030353
2.970416	2.970416	2.970416	2.970416	2.970416
2.910362	2.910362	2.910362	2.910362	2.910362
2.850193	2.850193	2.850193	2.850193	2.850193
2.789911	2.789911	2.789911	2.789911	2.789911
2.729519	2.729519	2.729519	2.729519	2.729519
2.66902	2.66902	2.66902	2.66902	2.66902
2.608415	2.608415	2.608415	2.608415	2.608415
2.547707	2.547707	2.547707	2.547707	2.547707
2.486899	2.486899	2.486899	2.486899	2.486899
2.425992	2.425992	2.425992	2.425992	2.425992
2.36499	2.36499	2.36499	2.36499	2.36499
2.303894	2.303894	2.303894	2.303894	2.303894
2.242708	2.242708	2.242708	2.242708	2.242708
2.181432	2.181432	2.181432	2.181432	2.181432
2.120071	2.120071	2.120071	2.120071	2.120071
2.058626	2.058626	2.058626	2.058626	2.058626
1.9971	1.9971	1.9971	1.9971	1.9971
1.935495	1.935495	1.935495	1.935495	1.935495
1.873813	1.873813	1.873813	1.873813	1.873813
1.812058	1.812058	1.812058	1.812058	1.812058
1.750231	1.750231	1.750231	1.750231	1.750231
1.688334	1.688334	1.688334	1.688334	1.688334
1.626372	1.626372	1.626372	1.626372	1.626372
1.564345	1.564345	1.564345	1.564345	1.564345
1.502256	1.502256	1.502256	1.502256	1.502256
1.440108	1.440108	1.440108	1.440108	1.440108
1.377903	1.377903	1.377903	1.377903	1.377903
1.315644	1.315644	1.315644	1.315644	1.315644
1.253332	1.253332	1.253332	1.253332	1.253332
1.190972	1.190972	1.190972	1.190972	1.190972
1.128564	1.128564	1.128564	1.128564	1.128564
1.066112	1.066112	1.066112	1.066112	1.066112
1.003617	1.003617	1.003617	1.003617	1.003617
0.941083	0.941083	0.941083	0.941083	0.941083
0.878512	0.878512	0.878512	0.878512	0.878512
0.815906	0.815906	0.815906	0.815906	0.815906
0.753268	0.753268	0.753268	0.753268	0.753268
0.6906	0.6906	0.6906	0.6906	0.6906
0.627905	0.627905	0.627905	0.627905	0.627905
0.565185	0.565185	0.565185	0.565185	0.565185
0.502443	0.502443	0.502443	0.502443	0.502443
0.439681	0.439681	0.439681	0.439681	0.439681
0.376902	0.376902	0.376902	0.376902	0.376902
0.314108	0.314108	0.314108	0.314108	0.314108
0.251301	0.251301	0.251301	0.251301	0.251301
0.188484	0.188484	0.188484	0.188484	0.188484
0.12566	0.12566	0.12566	0.12566	0.12566
0.062831	0.062831	0.062831	0.062831	0.062831
0	0	0	0	0
-0.062831	-0.062831	-0.062831	-0.062831	-0.062831
-0.12566	-0.12566	-0.12566	-0.12566	-0.12566
-0.188484	-0.188484	-0.188484	-0.188484	-0.188484
-0.251301	-0.251301	-0.251301	-0.251301	-0.251301
-0.314108	-0.314108	-0.314108	-0.314108	-0.314108
-0.376902	-0.376902	-0.376902	-0.376902	-0.376902
-0.439681	-0.439681	-0.439681	-0.439681	-0.439681
-0.502443	-0.502443	-0.502443	-0.502443	-0.502443
-0.565185	-0.565185	-0.565185	-0.565185	-0.565185
-0.627905	-0.627905	-0.627905	-0.627905	-0.627905
-0.6906	-0.6906	-0.6906	-0.6906	-0.6906
-0.753268	-0.753268	-0.753268	-0.753268	-0.753268
-0.815906	-0.815906	-0.815906	-0.815906	-0.815906
-0.878512	-0.878512	-0.878512	-0.878512	-0.878512
-0.941083	-0.941083	-0.941083	-0.941083	-0.941083
-1.003617	-1.003617	-1.003617	-1.003617	-1.003617
-1.066112	-1.066112	-1.066112	-1.066112	-1.066112
-1.128564	-1.128564	-1.128564	-1.128564	-1.128564
-1.190972	-1.190972	-1.190972	-1.190972	-1.190972
-1.253332	-1.253332	-1.253332	-1.253332	-1.253332
-1.315644	-1.315644	-1.315644	-1.315644	-1.315644
-1.377903	-1.377903	-1.377903	-1.377903	-1.377903
-1.440108	-1.440108	-1.440108	-1.440108	-1.440108
-1.502256	-1.502256	-1.502256	-1.502256	-1.502256
-1.564345	-1.564345	-1.564345	-1.564345	-1.564345
-1.626372	-1.626372	-1.626372	-1.626372	-1.626372
-1.688334	-1.688334	-1.688334	-1.688334	-1.688334
-1.750231	-1.750231	-1.750231	-1.750231	-1.750231
-1.812058	-1.812058	-1.812058	-1.812058	-1.812058
-1.873813	-1.873813	-1.873813	-1.873813	-1.873813
-1.935495	-1.935495	-1.935495	-1.935495	-1.935495
-1.9971	-1.9971	-1.9971	-1.9971	-1.9971
-2.058626	-2.058626	-2.058626	-2.058626	-2.058626
-2.120071	-2.120071	-2.120071	-2.120071	-2.120071
-2.181432	-2.181432	-2.181432	-2.181432	-2.181432
-2.242708	-2.242708	-2.242708	-2.242708	-2.242708
-2.303894	-2.303894	-2.303894	-2.303894	-2.303894
-2.36499	-2.36499	-2.36499	-2.36499	-2.36499
-2.425992	-2.425992	-2.425992	-2.425992	-2.425992
-2.486899	-2.486899	-2.486899	-2.486899	-2.486899
-2.547707	-2.547707	-2.547707	-2.547707	-2.547707
-2.608415	-2.608415	-2.608415	-2.608415	-2.608415
-2.66902	-2.66902	-2.66902	-2.66902	-2.66902
-2.729519	-2.729519	-2.729519	-2.729519	-2.729519
-2.789911	-2.789911	-2.789911	-2.789911	-2.789911
-2.850193	-2.850193	-2.850193	-2.850193	-2.850193
-2.910362	-2.910362	-2.910362	-2.910362	-2.910362
-2.970416	-2.970416	-2.970416	-2.970416	-2.970416
